Date,Value
Mar-01,38.99
Apr-01,40.69
May-01,38.17
Jun-01,40.57
Jul-01,37.06
Aug-01,37.03
Sep-01,32.90
Oct-01,32.05
Nov-01,34.35
Dec-01,31.19
Jan-02,34.19
Feb-02,30.82
Mar-02,32.76
Apr-02,30.11
May-02,29.34
Jun-02,31.60
Jul-02,31.75
Aug-02,32.92
Sep-02,28.44
Oct-02,36.44
Nov-02,39.17
Dec-02,37.06
Jan-03,41.51
Feb-03,39.50
Mar-03,38.36
Apr-03,40.13
May-03,44.52
Jun-03,54.42
Jul-03,53.87
Aug-03,54.80
Sep-03,50.33
Oct-03,50.37
Nov-03,49.32
Dec-03,50.18
Jan-04,57.73
Feb-04,59.83
Mar-04,56.72
Apr-04,49.96
May-04,51.02
Jun-04,50.82
Jul-04,49.09
Aug-04,46.68
Sep-04,47.34
Oct-04,49.45
Nov-04,54.13
Dec-04,52.03
Jan-05,56.81
Feb-05,55.97
Mar-05,58.41
Apr-05,52.27
May-05,51.41
Jun-05,50.63
Jul-05,50.51
Aug-05,52.06
Sep-05,49.93
Oct-05,50.12
Nov-05,53.37
Dec-05,51.01
Jan-06,57.07
Feb-06,56.22
Mar-06,59.86
Apr-06,54.02
May-06,56.76
Jun-06,58.53
Jul-06,57.74
Aug-06,55.86
Sep-06,58.95
Oct-06,59.73
Nov-06,57.59
Dec-06,57.11
Jan-07,60.97
Feb-07,59.54
Mar-07,58.84
Apr-07,52.80
May-07,52.92
Jun-07,51.32
Jul-07,50.18
Aug-07,46.61
Sep-07,49.21
Oct-07,47.90
Nov-07,51.45
Dec-07,51.51
Jan-08,55.04
Feb-08,52.03
Mar-08,45.51
Apr-08,45.62
May-08,40.31
Jun-08,39.60
Jul-08,40.47
Aug-08,41.38
Sep-08,44.41
Oct-08,40.11
Nov-08,39.12
Dec-08,37.06
Jan-09,41.19
Feb-09,39.44
Mar-09,37.45
Apr-09,37.54
May-09,39.09
Jun-09,40.01
Jul-09,42.35
Aug-09,40.69
Sep-09,40.02
Oct-09,39.03
Nov-09,40.49
Dec-09,40.22
Jan-10,45.56
Feb-10,43.54
Mar-10,41.38
Apr-10,43.48
May-10,48.61
Jun-10,47.63
Jul-10,48.10
Aug-10,50.37
Sep-10,48.83
Oct-10,50.05
Nov-10,55.36
Dec-10,53.21
Jan-11,55.69
Feb-11,53.96
Mar-11,57.38
Apr-11,54.42
May-11,55.55
Jun-11,55.71
Jul-11,58.07
Aug-11,57.46
Sep-11,59.31
Oct-11,57.68
Nov-11,56.69
Dec-11,52.57
Jan-12,57.35
Feb-12,52.63
Mar-12,50.22
Apr-12,43.83
May-12,46.43
Jun-12,44.38
Jul-12,43.59
Aug-12,42.74
Sep-12,42.27
Oct-12,43.44
Nov-12,42.71
Dec-12,46.43
Jan-13,46.86
Feb-13,47.62
Mar-13,46.91
Apr-13,44.06
May-13,41.65
Jun-13,44.49
Jul-13,47.48
Aug-13,50.03
Sep-13,48.65
Oct-13,51.85
Nov-13,49.89
Dec-13,46.15
Jan-14,43.67
Feb-14,33.46
Mar-14,36.21
Apr-14,36.69
May-14,38.10
Jun-14,41.92
Jul-14,42.75
Aug-14,43.89
Sep-14,41.50
Oct-14,43.94
Nov-14,43.66
Dec-14,44.22
Jan-15,49.95
Feb-15,50.47
Mar-15,52.60
Apr-15,52.85
May-15,54.99
Jun-15,54.88
Jul-15,56.09
Aug-15,56.78
Sep-15,54.62
Oct-15,56.96
Nov-15,60.35
Dec-15,54.89
Jan-16,54.01
Feb-16,45.59
Mar-16,48.16
Apr-16,43.19
May-16,42.66
Jun-16,42.57
Jul-16,45.61
Aug-16,42.60
Sep-16,43.29
Oct-16,46.04
Nov-16,43.93
Dec-16,44.48
Jan-17,44.47
Feb-17,40.68
Mar-17,40.95
Apr-17,46.19
May-17,45.76
Jun-17,42.04
Jul-17,42.48
Aug-17,47.61
Sep-17,51.04
Oct-17,51.11
Nov-17,51.10
Dec-17,43.18
Jan-18,45.19
Feb-18,43.82
Mar-18,43.81
Apr-18,40.09
May-18,36.07
Jun-18,35.97
Jul-18,36.25
Aug-18,36.25
Sep-18,33.70
Oct-18,32.64
Nov-18,32.10
Dec-18,35.99
Jan-19,33.10
Feb-19,36.04
Mar-19,34.79
Apr-19,34.41
May-19,36.47
Jun-19,40.57
Jul-19,44.18
Aug-19,41.86
Sep-19,42.09
Oct-19,43.77
Nov-19,41.35
Dec-19,42.35
Jan-20,43.03
Feb-20,42.73
Mar-20,41.23
Apr-20,39.28
May-20,38.42
Jun-20,39.47
Jul-20,38.18
Aug-20,41.31
Sep-20,40.31
Oct-20,38.83
Nov-20,40.87
Dec-20,39.32
Jan-21,38.20
Feb-21,37.77
Mar-21,38.19
Apr-21,35.34
May-21,35.44
Jun-21,34.64
Jul-21,37.86
Aug-21,39.76
Sep-21,40.52
Oct-21,40.21
Nov-21,39.69
Dec-21,37.77
Jan-22,40.14
Feb-22,39.43
Mar-22,36.91
Apr-22,35.72
May-22,36.30
Jun-22,39.09
Jul-22,34.74
Aug-22,37.05
Sep-22,37.19
Oct-22,35.65
Nov-22,35.15
Dec-22,35.91
Jan-23,38.52
Feb-23,36.18
Mar-23,38.19
Apr-23,37.08
May-23,38.31
Jun-23,41.79
Jul-23,43.56
Aug-23,44.06
Sep-23,43.38
Oct-23,45.11
Nov-23,47.51
Dec-23,39.81
Jan-24,35.60
Feb-24,36.04
Mar-24,36.68
Apr-24,37.17
May-24,38.30
Jun-24,37.23
Jul-24,39.10
Aug-24,41.46
Sep-24,39.00
Oct-24,42.42
Nov-24,45.02
Dec-24,46.03
Jan-25,47.38
Feb-25,47.26