Date,6-Month Growth Rate
Jan-00,NA
Feb-00,NA
Mar-00,NA
Apr-00,NA
May-00,NA
Jun-00,0.92
Jul-00,0.92
Aug-00,0.73
Sep-00,0.55
Oct-00,0.55
Nov-00,0.37
Dec-00,0.18
Jan-01,0.00
Feb-01,-0.18
Mar-01,-0.37
Apr-01,-0.55
May-01,-0.73
Jun-01,-0.92
Jul-01,-0.92
Aug-01,-0.92
Sep-01,-1.10
Oct-01,-1.28
Nov-01,-1.28
Dec-01,-1.47
Jan-02,-1.10
Feb-02,-0.55
Mar-02,0.00
Apr-02,0.18
May-02,0.55
Jun-02,0.92
Jul-02,0.55
Aug-02,0.55
Sep-02,0.92
Oct-02,0.92
Nov-02,0.92
Dec-02,1.10
Jan-03,1.10
Feb-03,0.73
Mar-03,0.55
Apr-03,0.55
May-03,0.92
Jun-03,1.28
Jul-03,1.65
Aug-03,2.01
Sep-03,2.20
Oct-03,2.75
Nov-03,3.29
Dec-03,4.03
Jan-04,4.58
Feb-04,5.13
Mar-04,5.86
Apr-04,6.41
May-04,6.96
Jun-04,7.33
Jul-04,7.51
Aug-04,7.69
Sep-04,7.69
Oct-04,8.06
Nov-04,8.42
Dec-04,8.42
Jan-05,8.60
Feb-05,8.60
Mar-05,8.60
Apr-05,8.42
May-05,8.24
Jun-05,8.24
Jul-05,8.24
Aug-05,8.06
Sep-05,7.69
Oct-05,7.51
Nov-05,7.33
Dec-05,7.15
Jan-06,7.15
Feb-06,7.15
Mar-06,7.15
Apr-06,7.15
May-06,7.15
Jun-06,6.96
Jul-06,6.96
Aug-06,6.77
Sep-06,6.58
Oct-06,6.40
Nov-06,6.21
Dec-06,6.21
Jan-07,6.02
Feb-07,5.65
Mar-07,5.27
Apr-07,4.90
May-07,4.71
Jun-07,4.52
Jul-07,4.15
Aug-07,3.58
Sep-07,2.83
Oct-07,2.08
Nov-07,1.34
Dec-07,0.60
Jan-08,-26.38
Feb-08,-26.96
Mar-08,-27.36
Apr-08,-27.36
May-08,-27.55
Jun-08,-27.74
Jul-08,-27.74
Aug-08,-27.55
Sep-08,-27.17
Oct-08,-26.60
Nov-08,-25.86
Dec-08,-25.13
Jan-09,-24.02
Feb-09,-23.30
Mar-09,-22.58
Apr-09,-21.68
May-09,-20.59
Jun-09,-19.50
Jul-09,-18.23
Aug-09,-16.97
Sep-09,-15.71
Oct-09,-14.45
Nov-09,-13.19
Dec-09,-11.94
Jan-10,-0.39
Feb-10,0.19
Mar-10,2.32
Apr-10,3.86
May-10,4.82
Jun-10,5.21
Jul-10,5.21
Aug-10,5.41
Sep-10,5.60
Oct-10,6.19
Nov-10,6.58
Dec-10,7.36
Jan-11,7.75
Feb-11,8.14
Mar-11,8.14
Apr-11,8.14
May-11,8.14
Jun-11,8.33
Jul-11,8.72
Aug-11,8.91
Sep-11,9.11
Oct-11,9.30
Nov-11,9.69
Dec-11,10.08
Jan-12,10.47
Feb-12,10.66
Mar-12,10.66
Apr-12,10.47
May-12,10.27
Jun-12,10.08
Jul-12,9.88
Aug-12,9.88
Sep-12,9.88
Oct-12,9.88
Nov-12,9.88
Dec-12,9.49
Jan-13,9.88
Feb-13,10.08
Mar-13,10.27
Apr-13,10.47
May-13,10.66
Jun-13,11.05
Jul-13,11.44
Aug-13,11.83
Sep-13,12.03
Oct-13,12.42
Nov-13,12.81
Dec-13,13.20
Jan-14,13.59
Feb-14,14.18
Mar-14,14.77
Apr-14,15.36
May-14,15.95
Jun-14,16.34
Jul-14,16.93
Aug-14,17.32
Sep-14,17.71
Oct-14,18.11
Nov-14,18.50
Dec-14,18.89
Jan-15,19.09
Feb-15,19.09
Mar-15,19.09
Apr-15,19.09
May-15,19.09
Jun-15,19.09
Jul-15,19.09
Aug-15,19.09
Sep-15,18.70
Oct-15,18.70
Nov-15,18.70
Dec-15,18.31
Jan-16,18.31
Feb-16,18.31
Mar-16,18.31
Apr-16,18.31
May-16,18.31
Jun-16,18.31
Jul-16,18.31
Aug-16,18.31
Sep-16,18.31
Oct-16,18.31
Nov-16,18.31
Dec-16,18.31
Jan-17,18.70
Feb-17,19.09
Mar-17,19.48
Apr-17,19.87
May-17,20.07
Jun-17,20.46
Jul-17,20.85
Aug-17,21.24
Sep-17,21.24
Oct-17,21.63
Nov-17,22.02
Dec-17,22.41
Jan-18,22.80
Feb-18,23.19
Mar-18,23.58
Apr-18,23.97
May-18,24.17
Jun-18,24.17
Jul-18,24.17
Aug-18,24.56
Sep-18,24.56
Oct-18,24.56
Nov-18,24.56
Dec-18,24.17
Jan-19,23.78
Feb-19,23.39
Mar-19,23.19
Apr-19,22.80
May-19,22.41
Jun-19,22.02
Jul-19,21.63
Aug-19,21.24
Sep-19,20.46
Oct-19,19.67
Nov-19,18.89
Dec-19,18.11
Jan-20,-13.20
Feb-20,-13.59
Mar-20,-28.31
Apr-20,-38.52
May-20,-31.83
Jun-20,-23.19
Jul-20,-17.32
Aug-20,-13.20
Sep-20,-10.66
Oct-20,-8.52
Nov-20,-6.77
Dec-20,-5.21
Jan-21,-3.65
Feb-21,-2.30
Mar-21,5.60
Apr-21,13.59
May-21,12.42
Jun-21,9.88
Jul-21,8.33
Aug-21,7.36
Sep-21,6.58
Oct-21,5.99
Nov-21,5.60
Dec-21,5.21
Jan-22,4.82
Feb-22,4.43
Mar-22,3.65
Apr-22,2.68
May-22,2.10
Jun-22,1.71
Jul-22,1.14
Aug-22,0.76
Sep-22,0.19
Oct-22,-0.38
Nov-22,-0.95
Dec-22,-1.52
Jan-23,-2.09
Feb-23,-2.66
Mar-23,-3.23
Apr-23,-3.80
May-23,-4.37
Jun-23,-4.94
Jul-23,-5.51
Aug-23,-5.89
Sep-23,-6.27
Oct-23,-6.65
Nov-23,-6.84
Dec-23,-7.03
Jan-24,-28.31
Feb-24,-28.12
Mar-24,-24.94
Apr-24,-26.09
May-24,-27.43
Jun-24,-28.12
Jul-24,-28.60
Aug-24,-27.81
Sep-24,-27.62
Oct-24,-26.65
Nov-24,-25.69
Dec-24,-25.12
Jan-25,-24.17